id,word,question_type,question_instruction,question_text,choices,correct_choice,tip_short,tip_long,level,frequency
I#nv%;JJWy,spirited,Fill in the Blank,,"Niedringhaus has been described by her colleagues as a ""________, intrepid and fearless"" photographer.",hesitant | bizarre | useless | spirited,spirited,"In this question, spirited is an adjective that means willing to face danger.","Someone who's spirited is lively or enthusiastic. It can be challenging to babysit a bunch of spirited four-year-olds, but it's also entertaining. You can also call a spirited person energetic, animated, or spunky. Spirited people are often determined, too, like a spirited activist for animal rights or a spirited defender of free school lunches. Long ago, this adjective was also used to mean ""possessed by a spirit or ghost."" Today's sense of spirited comes from the original meaning of the verb spirit, ""to make more active.""",6,0.001222494
vX1fSJb*dp,courtyard,Apply the Meaning,,Which of the following is most likely to have a courtyard?,a small klichen | a launching pad | an apartment building | an operating room,an apartment building,"In this question, courtyard is a noun that means an area wholly or partly surrounded by walls or buildings.","A courtyard is an area outside a building that's framed and somewhat enclosed by walls. Your friend might ask you to meet her in the courtyard of her apartment complex. In cities, courtyards provide small, private outdoor areas. Courtyards are often nestled between buildings, or tucked away behind them. For nearly as long as people have built houses and buildings, courtyards have existed — although in the past, they were used for keeping animals, cooking over an open fire, and sometimes even sleeping. The word dates from the 1550s, combining court, from the Latin cohors, ""enclosed yard,"" and yard, from a Germanic root also meaning ""enclosure.""",6,0.001510574
"IU|,$9`p%S",coalesce,Apply the Meaning,,Which is the best example of coalescing?,a plan coming together | a child growing up | a crowd spreading out | a slice of bread getting moldy,a plan coming together,"In this question, coalesce is a verb that means to fuse or cause to come together.","Waiting for a plan to come together? You're waiting for it to coalesce. Coalesce is when different elements of something join together and become one. In coalesce, you see co-, which should tell you the word means ""together."" The other half of the word comes from alescere, a Latin verb meaning ""to grow up."" So if you are trying to start up a photography club at school, once you have an advisor, some interested students and support from the administration, things will be coalescing or growing together. Another way to remember that? An adolescent is one who is growing. A lot!",4,0.002645503
fTN<T6WkWg,anecdote,Fill in the Blank,,"Playfully deflating his own narrative authority by allowing admittedly shaky memories to stand as fact, Achebe juxtaposes ostensibly mild personal ________ with serious political reflections.",disposals | anecdotes | prodigies | blunderers,anecdotes,"In this question, anecdote is a noun that means short account of an incident.","A short, amusing true story is an anecdote. You might come back from a crazy spring break with a lot of anecdotes to tell. The roots of anecdote lie in the Greek word anekdota, meaning ""unpublished."" The word's original sense in English was ""secret or private stories"" — tales not fit for print, so to speak. It can still have connotations of unreliability, as in the phrase ""anecdotal information."" But the most common sense today is that of ""a funny story about something that happened.""",5,0.002066116
n8k:I!nt]j,aggravate,Fill in the Blank,,Scientists predict climate change will ________ worldwide water shortages in the coming decades.,covet | explicate | propagate | aggravate,aggravate,"In this question, aggravate is a verb that means to make worse.","People who chew with their mouths open often aggravate the people near them, meaning that they exasperate their neighbors. One trick for remembering the meaning of aggravate is to recall that it rhymes with one of its synonyms, irritate. When you irritate, you aggravate. Younger brothers often aggravate their older brothers, because they find it entertaining to get a reaction out of them. Aggravate is also used is to mean ""make worse."" For example, if you have an old knee injury, it's probably best not to climb Mount Everest, because you might aggravate the injury. If your house is in foreclosure, calling your banker an ugly name is likely only to aggravate the situation. Try a little sweet talk instead!",6,0.001230012
rz2yq5>y=3,autumn,Fill in the Blank,,In the ________ everybody was preparing for the winter.,coinage | autumn | sterling | infancy,autumn,"In this question, autumn is a noun that means the season when the leaves fall from the trees.","Autumn is the season after summer, when leaves fall from trees. It's also the season when the days get shorter and colder, and everything turns brown and drab, but people like it anyway, for the cocoa and cider, probably. Autumn is the third season of the year, coming after summer and before winter, and coinciding with the dropping of leaves from the trees as they go into a winter rest, which is why it's also called fall. We also use autumn metaphorically to talk about the seasons of a person's life, like that luminous older actress in the autumn of her career: she's not yet playing roles in nursing homes, but neither is she scampering around in bikinis.",3,0.004878049
rZ/d@Y?^pM,caution,Fill in the Blank,,Using a medium-size tablespoon they erred on the side of ________ and tended to underdose.,plenty | caution | temper | energy,caution,"In this question, caution is a noun that means the trait of being attentive to possible danger.","If you act with caution, it means you are careful. Be sure to use caution when walking across a patch of ice. Otherwise, you might end up sprawling face-first on the ground. Ouch! The noun caution can be used to describe something that calls for careful action and the need to avoid risk, such as a volatile political situation that requires extreme caution. The word also has a verb form with a similar meaning. It’s a more formal way of saying “warn” and usually appears with against or that, as in, ""Teachers caution against waiting until the last minute to study,"" or, ""They caution that effective studying takes a long time.""",1,0.011235955
d`Nqa$SSWJ,grievance,Fill in the Blank,,"Students also had ________ over housing conditions, crime and what they called “mediocrity on campus.”",impacts | grievances | casualties | ferries,grievances,"In this question, grievance is a noun that means a complaint about a wrong that causes resentment.","A grievance is a complaint. It can be formal, as when an employee files a grievance because of unsafe working conditions, or more of an emotional matter, like a grievance against an old friend who betrayed you. A grievance is a complaint that may or may not be justified. Often a grievance is a complaint about something that breaks a rule or a law, like a grievance filed against a person who builds a fence in his front yard in a town that does not allow that. If that same neighbor plants flowers he knows make you sneeze uncontrollably, you might be unhappy about that, but this is the kind of grievance you can work out among yourselves.",6,0.001536098
AKeEdd5MCh,bluff,Fill in the Blank,,"We tied up there, and now we were out of the boat, climbing a ________.",hoot | gale | stamp | bluff,bluff,"In this question, bluff is a noun that means a high steep bank.","Bluff can mean a high cliff, or it can describe a person who is abrupt in manner. The most common usage of bluff is as a verb meaning to pretend. If you bluff at cards, you are pretending to have a better hand than you do. Many a good crime story ends with a bluff—""I've already contacted the police and they're on their way,"" the detective will say when that is not at all the case. The expression ""calling your bluff"" comes from poker, where you ""call"" a game to see someone's actual cards. Calling someone's bluff means forcing them to admit the truth.",5,0.002079002
LG~RkX+#BW,superstitious,Apply the Meaning,,Which of these is a superstitious behavior?,taking care of responsibilities before relaxing | taking care of one's personal health and fitness | taking care not to step on sidewalk cracks | taking care not to offend family and friends,taking care not to step on sidewalk cracks,"In this question, superstitious is an adjective that means showing ignorance of the laws of nature and faith in magic.","Superstitious describes a belief in chance or magic. If you're superstitious, you may avoid walking under ladders, spilling salt, or passing black cats — all because you think they will bring you bad luck. Plenty of people don't think of themselves as superstitious, yet they may do things like knock on wood or refuse to open an umbrella indoors. Or they believe their team will win if they wear their lucky socks. These actions are all superstitious, demonstrating a belief based on magic or luck rather than on reason. The Latin word that superstitious comes from is superstitionem, excessive fear of the gods.",6,0.001385042
ir0%GZ*2R<,assertion,Fill in the Blank,,The police might be right or wrong in their ________ that the man was an anarchist.,pronunciation | destination | paragraph | assertion,assertion,"In this question, assertion is a noun that means a declaration that is made emphatically.","An assertion is a declaration that's made emphatically, especially as part of an argument or as if it's to be understood as a statement of fact. To assert is to state with force. So if someone makes an assertion, they’re not just trying out an idea — they really mean it. An assertion can also be an act that seems to make a statement without words. When your dog urinates in multiple places up and down your block, he's making an assertion of his dominance (also called ""marking"") over his ""territory.""",4,0.002673797
"m1m_5g,(+M",conjecture,Fill in the Blank,,"Water on the moon, once a wild ________, appears to be solidifying into a scientific fact.",conspiracy | franchise | conjecture | exception,conjecture,"In this question, conjecture is a noun that means a hypothesis that has been formed by speculating.","Can you guess what conjecture means? It's a word to use when you are not sure of something and have to ""guess or surmise."" You can see how the word conjecture means that you create a theory or opinion about something without basing it in fact because the original definition of conjecture, from Old French, is ""interpretation of signs and omens."" Since signs and omens are pretty subjective, it makes sense that the word would then move to its current meaning. However, even though it only seems like weather reports are conjectures, they are actually based on evidence!",4,0.002506266
"jSt,/S%XPu",hence,Fill in the Blank,,"To be fair, tax reform is really, really hard — ________ the three-decade lull since it was last achieved — and requires lots of complicated horse-trading.",finally | never | hence | just,hence,"In this question, hence is an adverb that means from that fact or reason or as a result.","Hence means ""for this reason,"" or ""therefore."" One Hollywood starlet is a huge fan of tiny dogs, hence the Pomeranian puppy peeking out of her purse. Hence not only means ""therefore."" It can also mean forward from this time. Nine months hence, a baby that has just been conceived will enter the world kicking and screaming. These days, you're more likely to hear the word hence in a movie set a hundred years ago than in casual conversation because it has a very old-fashioned ring to it.",2,0.00952381
G.M+?s8T5&,strategy,Fill in the Blank,,"Since the new government took office, he has been in charge of developing a long-term ________ to deal with Japan’s huge debt and other matters, and has been increasingly outspoken on the need to tackle deflation.",lure | strategy | logic | destination,strategy,"In this question, strategy is a noun that means an elaborate and systematic plan of action.","In the game of capture-the-flag, running toward your flag screaming is not a good strategy. A strategy is any plan you make to achieve a goal. The word strategy was developed to describe plans people made for war, and strategies often rely on certain chief assets––the British strategy for world domination relied on its naval superiority, our strategy for this game relies on the other team's poor level of fitness. After they're exhausted, we go for the goal.",2,0.006024096
zNuRd*R;mK,shrewd,Fill in the Blank,,"If the job your wife takes represents a significant step down in salary, prestige or responsibility, she should be prepared to explain her choice to prospective employers -- although it would not take an incredibly ________ hiring manager to discern that a long period of unemployment followed by a position that is surprisingly junior probably means that the safety-net money ran out.",shrewd | shallow | resolute | successive,shrewd,"In this question, shrewd is an adjective that means marked by practical hardheaded intelligence.","If you are shrewd in your spending, you can make a small salary go a long way. Use the adjective shrewd to describe a person or thing that is smart or clever in a practical sort of way. The word shrewd is from a Middle English adjective formed from the noun schrewe ""an evil person, a villain."" This Middle English noun is an earlier form of our modern English word shrew. So shrewd and shrew are related to each other. Shrewd doesn't usually have a disapproving or negative tone, but shrew certainly does.",4,0.003067485
;.u$GCH9t,sincerely,Apply the Meaning,,"Where would you most likely encounter the word ""sincerely""?",on an official form of identification | in an instruction manual | in a real estate contract | at the end of a letter,at the end of a letter,"In this question, sincerely is an adverb that means written formula for ending a letter.","Sincerely is one way of signing off on a letter you’ve written, and it’s also an adverb you’d use when you want to emphasize how much you really mean it. I sincerely hope you understand what I’m talking about. Sincerity means being completely honest about what you mean, and only those who have sincerity should use the related word sincerely to describe their actions. If you sincerely want to swim in a lake, you’re not at all joking, which explains your bathing suit. You can use sincerely at the end of a letter too. “Dear Mom, I sincerely wish you would stop cutting my sandwiches into heart shapes. Sincerely yours, Kurt.” No doubt, Kurt sincerely means it.",5,0.001851852
B9lkwB@7rA,inflation,Fill in the Blank,,It must not be thought that the Montgolfiers experimented solely with hot air in the ________ of their balloons.,referral | glimpse | inflation | penalty,inflation,"In this question, inflation is a noun that means the act of filling something with air.","Think of inflation as expansion, usually from being filled with air, like a balloon. This also refers to rising prices. Think of a balloon puffing up, getting fuller and fuller — that's inflation. The word has a bunch of related meanings. We can say people a little too full of themselves are suffering from inflation: they are full of hot air. When the cost of living is ballooning, that's economic inflation. When the universe was born in the big bang, there was a huge inflation, as matter spread out, creating galaxies, stars, and planets.",4,0.00310559
c{hM:tp$ob,phenomenon,Fill in the Blank,,"A decade ago, who would have guessed that it would become a culinary ________, readily available at farmers’ markets nationwide and cutting-edge restaurants like David Schuttenberg’s Cabrito in the West Village, Rick Bayless’s Frontera Grill in Chicago and Tom Douglas’s Lola in Seattle?",phenomenon | clasp | misfortune | jest,phenomenon,"In this question, phenomenon is a noun that means a remarkable development.","A phenomenon is an extraordinary occurrence or circumstance. In the 1950s, rock-n-roll was considered a new cultural phenomenon, while today we think of crop circles as a mysterious phenomenon. Like many words with Greek roots, phenomenon started out as a science term. Scientists used it (and still do) to describe any event or fact that could be observed, amazing or not. An earthquake, for example, was a phenomenon, because you could see it (and hear it and feel it). Phenomenon is an example of a word having a specific meaning for one group of people that gets changed when used by the general public.",3,0.004901961
J32tF5r3B],harvest,Fill in the Blank,,Many crops have to be hand-picked so farmers rely on migrants to bring in the ________.,fraud | victory | harvest | tournament,harvest,"In this question, harvest is a noun that means the yield from plants in a single growing season.","The harvest is the time when you reap what you sow. As a verb, to harvest something means that you pick or gather it. You might harvest your sweet corn late in the summer. As a noun, harvest means the time of year when crops are ripe and ready to be gathered. The picked crop is also called a harvest: a bumper crop is a plentiful harvest, and a poor harvest is when things didn’t grow as well as expected. As a verb, to harvest something is to gather, trap, or cull it. You can harvest a soybean crop, you can harvest beaver pelts, or you can harvest tissues or organs for transplants.",3,0.003436426
D#q4]1Sv{d,rot,Apply the Meaning,,Which of the following would most likely rot?,an apple left on the counter for weeks | a student trying to raise his math grade | a large city during a snowstorm | a new bridge made of steel and concrete,an apple left on the counter for weeks,"In this question, rot is a verb that means to break down.","To rot is to decompose, or break down into smaller parts. When old food at the back of your refrigerator rots, you should throw it away. Sometimes you can tell when something is beginning to rot because it smells bad. But the process that occurs when things rot is a natural one that you can see all around you as you walk through the woods or along the beach. Living organisms have to rot after they die, to make room for more organisms.",6,0.001472754
J03gD&/M[n,reconstruct,Fill in the Blank,,The proper aim is to try and ________ society on such a basis that poverty will be impossible. ,garb | appease | redistribute | reconstruct,reconstruct,"In this question, reconstruct is a verb that means to cause somebody to adapt or reform socially or politically.","If the verb to ""construct"" means to build something, then to reconstruct means to build it again. You can reconstruct a building, a city, or even an idea. If a house is destroyed in a fire, earthquake, or flood, you might try to reconstruct it — or you could build a totally new one. Either way, though, you could still be said to be reconstructing your home. Some buildings were destroyed so long ago that we don't know what they really looked like. The same can be said for whole cities and cultures. Still, archeologists try to reconstruct how those cities and cultures appeared at the time that they were flourishing. Linguists reconstruct long-dead languages. Detectives try to reconstruct crimes in order to figure out who committed them.",6,0.001169591
IjyfZ<B?X&,mandate,Fill in the Blank,,But correspondents say his huge election victory gives him ________ to reach out to Pakistan in a way the previous administration could not.,a blockade | a mandate | a distraction | a denial,a mandate,"In this question, mandate is a noun that means commission given to a government through electoral victory.","A mandate is an official command or a go-ahead. When a politician wins an election by a wide margin, that's a mandate to implement her ideas. A mandate gives authority. If the government gives schools a mandate to test more, then the schools had better give more tests. People who work for the Peace Corps have a mandate to help various countries with things like getting clean drinking water. A politician who believes in higher taxes and then gets elected considers that a mandate to raise taxes. When you have a mandate, it's like a ticket to get something done.",6,0.001420455
Rh.pyPVt!+,plunge,Apply the Meaning,,Which of the following is most associated with plunging into a task?,dread | enthusiasm | regret | philosophy,enthusiasm,"In this question, plunge is a verb that means to begin with vigor.","Plunge is a noun and a verb related to diving, falling, and sinking. A ""polar bear plunge"" is when people plunge into freezing cold water for charity or, inexplicably, for fun. As a noun, plunge means “a brief swim” or “a fall.” As a verb, plunge has a variety of definitions. Plunge can mean “to devote yourself fully,"" as you might plunge into a job by working day and night. Similarly, if you plunge into a good book, you don't let anything distract you from your reading. Plunge can also mean “fall abruptly.” Someone’s reputation might plunge after a scandal, or the stock market might plunge when investors react to bad news.",2,0.006410256
"D9M=P|9,DH",impotent,Fill in the Blank,,The scientific and professional prospects of young scholars in Greece are evaporating; this will leave the country’s universities lifeless and ________.,sovereign | concrete | impotent | immortal,impotent,"In this question, impotent is an adjective that means lacking power or ability.","Impotent means lacking power or authority. Captain Bligh was impotent in the face of Christian's mutiny. It also refers to a man's inability to achieve or maintain an erection. If a man is sterile, or unable to reproduce, he is also called impotent. Those wacky ancients really knew how to mess with you — simply add the prefix im to the front of potent, which means ""powerful,"" and you get its opposite — ""powerless."" While Viagra can help when the problems are physiological, an impotent leader has lost his ability to govern. No little blue pill will dig him out of that hole. It can also allude to a certain meaninglessness, such as the music critic who wrote that the easy listening genre of pop was so dull as to be ""the soundtrack to impotence.""",6,0.001127396
MhYdXLSf>@,fantasy,Fill in the Blank,,"It's a wronged woman's dream scenario, and Meyers' intent in showing the reality of the ________ coming true is clever and fresh.",presumption | fantasy | framework | enquiry,fantasy,"In this question, fantasy is a noun that means imagination unrestricted by reality.","A fantasy is something you imagine, which might involve dragons, unicorns, or an imaginary best friend. If you live in a fantasy world, you're not worrying much about reality — pleasant, maybe, but not very practical. Fantasy is dreams and imagination. In a football fantasy league, you can create your own dream team. In literature, fantasy — a genre similar to science fiction — might include a story about a three-headed squirrel and a bionic aardvark who fall in love on a planet made entirely of strawberries. Romance can be fantasy, too, according to a Billy Joel song: ""It's just a fantasy. It's not the real thing. But sometimes a fantasy is all you need.""",3,0.003584229
xkB7+J8Xhw,vulnerable,Apply the Meaning,,Which of the following would most likely be considered vulnerable?,a lake during a rainstorm | an accountant during tax season | an unvaccinated child during an epidemic | an athlete during the off-season,an unvaccinated child during an epidemic,"In this question, vulnerable is an adjective that means capable of being wounded or hurt.","Use the adjective vulnerable to describe something or someone open to being physically or emotionally wounded, like a newborn chick or an overly sensitive teenager. Vulnerable is from Latin and is based on vulnus ""wound."" From its literal meaning, it has come to be more often used for someone who is easily hurt or likely to succumb to temptation. It's best used for a person whose feelings are so delicate that they can't withstand any criticism or pressure: ""Don't speak harshly to her, she's very vulnerable today.""",6,0.001459854
JD6w)-E=hd,abstract,Fill in the Blank,,Our immediate vivid experience often overwhelms more ________ distant statistics.,prompt | hazardous | abstract | pastoral,abstract,"In this question, abstract is an adjective that means dealing with a subject without a practical purpose.","Use the adjective abstract for something that is not a material object or is general and not based on specific examples. Abstract is from a Latin word meaning ""pulled away, detached,"" and the basic idea is of something detached from physical, or concrete, reality. It is frequently used of ideas, meaning that they don't have a clear applicability to real life, and of art, meaning that it doesn't pictorially represent reality. It is also used as a noun, especially in the phrase ""in the abstract"" (a joke has a person laying down a new sidewalk saying ""I like little boys in the abstract, but not in the concrete""), and as a verb (accented on the second syllable), meaning ""to remove.""",3,0.004016064
hw1#+}V:WW,random,Apply the Meaning,,Which of the following is a random method of making a decision?,write a list of pros and cons | take a long time to think | seek advice | flip a coin,flip a coin,"In this question, random is an adjective that means lacking any definite plan or order or purpose.","Something that’s random is lacking in order, plan, or purpose. It happens totally by chance, like the random picking of lottery numbers or unplanned random acts of kindness. Sometime in the 1980s, teenage slang hijacked the adjective random and tried to turn it into a word meaning weird, odd or out of place. As in ""Dude! That guy wearing purple spandex at the party was so random!"" But don't fall for it. Something that’s truly random is totally governed by chance and has no specific pattern, like choosing a card at random from a magician’s deck.",5,0.001615509
cWGCE&iwc1,stride,Apply the Meaning,,Which of these would you measure in strides?,the volume of your new stereo | the depth of the ocean | the amount of money in your savings account | the distance between your house and the corner,the distance between your house and the corner,"In this question, stride is a noun that means the distance covered by a step.","The noun stride means ""significant progress."" You might make a huge stride towards making peace with the rival school by hosting a block party and inviting their students. The noun stride also means ""a step made while running or walking."" If you are bored, you can count your strides between home and the bus stop. As a verb, stride means ""to walk or run by taking long steps."" Elite runners stride, making it look easy. But even if you are a slow jogger, don't give up — you make great strides to improve your health when you exercise regularly.",3,0.003745318
weqhuk2@?l,bass,Fill in the Blank,,"Lemmy, influenced by his time as a guitarist, played the ________ more like a guitar, often favoring chords over single notes.",bass | yoke | shank | derby,bass,"In this question, bass is a noun that means a musical instrument with the lowest range of its family.","A bass sound or instrument is the deepest. If a barbershop quartet sings “Happy Birthday” to you, the guy with the lowest voice is singing the bass part. A bass is also a type of saltwater fish. The word bass has two main meanings with separate pronunciations — bass with a high vowel sound (like base) ironically refers to very low sounds — bass instruments and singers are in the lowest part of the musical range, like the low rumble of a bass guitar. If you say bass with a low vowel sound, it's a type of fish. That kind of bass doesn’t add much to a harmony but is delicious with mashed potatoes.",6,0.001579779
EL&T~C3u)X,brand,Fill in the Blank,,Workers said they didn’t know what specific clothing ________ were being made in the building because labels are attached after the products are finished.,brands | schemes | crafts | weaves,brands,"In this question, brand is a noun that means a name given to a product or service.","If your friend buys her jeans based on the brand, it means that the name on the label of her pants is very important to her. A brand is a product name. The cereal aisle at the grocery store is a good place to see how many different brands there are of the same product. A company name, or the name it invents for a particular item or service, is a brand. Another kind of brand is the verb that means to mark or name something in a negative way. If you brand your classmate as a bully, you accuse him of bullying and expose his behavior to other people.",2,0.005376344
xhj/A|Ej>f,vehement,Fill in the Blank,,"His grief was so ________ ""that his friends began to think him in danger of losing his reason.""",horizontal | vehement | predictable | delicious,vehement,"In this question, vehement is an adjective that means marked by extreme intensity of emotions or convictions.","You can use the adjective vehement to describe an extremely strong, powerful, or intense emotion or force. The teenager argued for a much later curfew in a vehement speech to her parents; her parents responded with an equally vehement “No way!” Vehement is from Latin and was originally applied to intense natural phenomena: pain, heat, wind, etc. It is now more commonly used for intense emotions or beliefs. With the adverb form, people can be vehemently in favor of something, but the more common usage is for people to be vehemently opposed to something. Many people, for example, are vehemently opposed to politicians they didn't vote for, other people spoiling the endings of movies or books, or someone else taking the last piece of chocolate. The stress is on the first syllable (VEE-uh-ment).",4,0.002375297
dWaT}}IMgI,festival,Apply the Meaning,,Which of the following is best described as a festival?,a three-day concert featuring rock bands | a televised presentation of a soccer game | a collection of horror novels in the library | a lecture by a well-known scientist,a three-day concert featuring rock bands,"In this question, festival is a noun that means an organized series of acts and performances.","A festival might be an all-day series of music performances or a weekend of short plays or films. Any program made up of many different acts, especially lasting an entire day or several days, can be called a festival. Another meaning of the word festival is ""big party,"" again most often a celebration that lasts for a long period of time. Some festivals are religious, and others are seasonal or cultural, like a city's Italian Heritage Festival. Some famous festivals include the Fringe Festival in Scotland, Carnivale in Brazil, Oktoberfest in Germany and Burning Man in the United States. You could travel the world as a festival hopper.",3,0.004504505
yc|sLrhaQ2,document,Fill in the Blank,,"In at least one instance, AIG pushed for ________ to be disclosed and then released the information.",portraits | hints | documents | whispers,documents,"In this question, document is a noun that means writing that provides information.","A document is a piece of paper that contains official information. Don't you wish you had a document saying that the bank owed you $5 million? Document comes from the Latin verb meaning ""to teach,"" so a document instructs you with the information it contains. Legal documents such as contracts contain instructions on how the people signing it will act. Passports, driver’s licenses and birth certificates are all official documents. As a verb, document means ""to record in detail,"" or ""offer supporting evidence for."" If you call a company to complain about something, make sure to document your phone calls by noting the date you called, who you spoke to and what was said.",2,0.008
L-}rw%)A5J,review,Fill in the Blank,,We will provide a brief ________ of the entire chapter before taking up the study of it in details.,novel | pardon | alliance | review,review,"In this question, review is a noun that means a summary that repeats the substance of a longer discussion.","To review means to look back over something for evaluation or memory. ""The year in review"" is a popular form of news feature near the end of December. If your boss wants to give you a review, she wants to look over the history of your job performance. A doctor might review your medical record to help diagnose your sickness. The review of a book or movie often evaluates the work in question based on its strong and weak points, sometimes ending with a recommendation (or a dismissal). Before a big test, you might want to review (""brush up on"") your notes.",2,0.009803922
cf#4`bQ9C%,discrimination,Fill in the Blank,,"Right before and after World War II, when ________ and segregation were commonplace, young people in Sugar Hill saw success stride by on the streets where they played tag and stickball.",recourse | transportation | degradation | discrimination,discrimination,"In this question, discrimination is a noun that means unfair treatment of a person or group based on prejudice.","Discrimination means distinguishing between two or more people or things. Usually, discrimination means an unfair system that treats one group of people worse than another. Discrimination isn't always a bad thing. You have to use discrimination to tell a good restaurant from a bad one, or a good idea from a bad one. However, this word is very tarnished by its main use these days: as a word for unfair treatment of people, based on racism, sexism, homophobia, or another prejudice. There is a huge history of discrimination in the United States.",6,0.001190476
hc]Hon7xm@,civil,Fill in the Blank,,The north and south fought a 22-year ________ war that left some 1.5 million people dead.,military | local | legal | civil,civil,"In this question, civil is an adjective that means of or occurring between or among citizens of the state.","Civil has several meanings. The simplest is cultured and polite, as in someone who is civilized. Civil can also describe things related to a community of people and their government, or a civilization. If you work for the post office, you're a civil servant. The Civil Rights movement focused on the notion that all American citizens were entitled to the same basic personal rights and freedoms. Civil wars are named in reference to the fact that conflict occurs between citizens of the same country, and civil law is similarly limited to non-criminal issues that community members have with each other. The Latin root, civilis, means both ""relating to a citizen"" and ""courteous.""",1,0.025641026
MZDR~WCd%/,slim,Apply the Meaning,,Which of the following is most likely to be slim?,a professional runner | a planet in the galaxy | a cat that overeats | a swanky hotel,a professional runner,"In this question, slim is an adjective that means being of delicate or slender build.","Anything slim is thin or narrow. So, your sister may be considered slim, and you could also have ""a slim chance"" of winning the lottery. Slim people are slender, and slim things are usually delicate, like a slim watch band. You can also use slim to describe a margin or a chance: ""There was only a slim likelihood that the home team would win this game."" Back in the early 1800s, to slim meant ""to do one's work carelessly,"" and in the seventeenth century, the adjective was also used to mean ""sly or crafty.""",5,0.001988072
Aa6z0]vk+/,attainment,Fill in the Blank,,The third group comprises the years of adolescence; the fourth marks the ________ of full growth.,attainment | obstinacy | tournament | unimportance,attainment,"In this question, attainment is a noun that means arrival at a new stage.","The effort put into something and the pay-off when the work is over is called attainment. Attainment of your goal of learning to make the perfect omelet requires breaking a lot of eggs. An attainment isn't just handed to you — you have to earn it through skill and hard work. In fact, in slang, attainment is used interchangeably with skill. You might say that the inventiveness and originality of a particular rapper is his attainment, just as his fame, fortune, and respect in the hip-hop community is also his attainment.",6,0.001160093
fm/0~QWvF9,esteem,Apply the Meaning,,Which of the following is most likely to be held in esteem?,a vicious criminal | a person having a heart attack | a wise village elder | a child throwing a tantrum,a wise village elder,"In this question, esteem is a noun that means the condition of being honored.","Esteem is all about respect and admiration. If you have high self-esteem, it means you like yourself. When you say, ""My esteemed colleagues,"" you are saying you have nothing but the highest respect for them. Esteem derives from the same Latin word that gives us estimate, and back in the day, esteem, like estimate meant ""to assess, or judge the value of something."" That sense lingers today. When you say you hold someone in high esteem, it means you give them a high value. Unless you're a politician, in which case, when you say, ""I hold my opponent in high esteem,"" you are most likely to follow that statement with a big ""But....""",3,0.004651163
M%<|=tK4Gw,enormous,Fill in the Blank,,Something this big could cause ________ regional damage.,enormous | convinced | miserable | expert,enormous,"In this question, enormous is an adjective that means extraordinarily large in size or extent or degree.","When something is very, very, VERY big, it can be called enormous. “Good heavens, that pimple on your cheek is absolutely enormous; it covers half your face!” The word enormous contains within it, if you look closely, the root norm, as in normal. So what you’re saying when you call something enormous is that it’s beyond what is normal; you’re trying to convey a sense of exaggerated difference. You may also have heard the word ginormous, which people try to use as enormous with a dramatic flair. But, trust us: ginormous is not a good word; it’s just a blend of two words — gigantic and enormous.",2,0.006896552
L=}i?5Hl]5,refinement,Fill in the Blank,,"There is a look of delicacy and ________ about him, though his dress and domestic surroundings are of the plainest, and there is not a tinge of affectation in his manner.",pluck | refinement | duration | flexibility,refinement,"In this question, refinement is a noun that means the quality of excellence in thought and manners and taste.","Do you know which fork is for your salad and which one is for dessert? Then you have some refinement — good manners and taste. Things that go through a process of refinement have been refined; they've lost their rough edges. For people, this means they have good manners, and for substances like oil and sugar, it means that their impurities have been removed. With refinement, things and people become more acceptable: the sugar's refinement makes it appropriate to serve at a fancy party, and your refinement makes you a perfect guest there.",6,0.001443001
tr<8r7QpUw,majority,Fill in the Blank,,"Egyptians have been united historically by a strong sense of national identity, allowing the Muslim ________ and Coptic Christian minority to live in peace, for the most part.",abandon | depth | temper | majority,majority,"In this question, majority is a noun that means the main part.","Majority means “most of,” or the biggest part. Does the majority of what owls eat — mice, rats, squirrels, moles — sound appetizing to you? If not, you’re probably in the majority of people. In an election, victory usually goes to whoever wins the majority of votes, or more than half of them. The opposite of majority is minority. A majority of the more than one billion Roman Catholics in the world live in Latin America; a small minority of all Roman Catholics live in Asia.",2,0.009259259
Pm2|4kjBkS,cherish,Fill in the Blank,,"There aren't many glimmers of hope but when you find them, you ________ them.",infer | degrade | weave | cherish,cherish,"In this question, cherish is a verb that means to be fond of.","To cherish something is to care for it deeply, to treasure it, like the way you cherish the time you spend with a favorite person you don't see often. The verb cherish is related to words that mean “costly” and “beloved.” When people really value something, often because they feel emotionally connected to it, they cherish it. Many of us cherish our first cars, and later in life, we cherish the memories of those days, driving around with our friends. Generally, people don't cherish things just because they cost money; they cherish experiences that matter to them.",4,0.003115265
hR]&n#?)*S,whistle,Apply the Meaning,,Which of the following is most likely to whistle?,a piano | a lizard | a teakettle | a dog,a teakettle,"In this question, whistle is a verb that means to make whining or ringing sounds.","A whistle is a small wind instrument, and you probably know people who are good at whistling without an instrument. Trains have whistles, and the wind whistles too. The world is full of whistles. Whistle is a word with several meanings, but they have in common a similar high-pitched, airy sound. This is different from most instruments. You can't tuba without a tuba, but you can whistle without a whistle. Sometimes people's teeth make a whistling sound by accident. Referees and traffic cops carry whistles to get people's attention. Other people whistle for many reasons: because they're impressed, see something they like, or just want to say, ""Hey you!""",2,0.005291005
